C1,Frequency,Avg view count,,C2,Frequency,Avg view count,,C3,Frequency,Avg view count
minsup=2,,,,,,,,,,
M,45,78,,"F, AS",3,66,,"AS, F, 0",2,85
F,5,69,,"F, EU",1,,,"EU, M, 1",13,101
EU,26,75,,"F, NA",1,,,"EU, M, 0",12,58
AS,16,82,,"M, EU",25,79,,"AS, M, 1",3,101
AF,2,44,,"M, AS",13,92,,"AS, M, 0",10,89
NA,3,75,,"M, AF",2,44,,"SA, M, 0",3,45
SA,3,45,,"M, NA",2,65,,"NA, M, 0",2,65
OC,0,,,"M, SA",3,45,,,,
AN,0,,,"F, 0",3,74,,,,
0 (below avg),31,67,,"F, 1",2,62,,,,
1 (above avg),19,110,,"M, 0",28,68,,,,
,,,,"M, 1",17,98,,,,
,,,,"0, EU",13,51,,,,
,,,,"0, AS",12,74,,,,
,,,,"0, NA",2,65,,,,
,,,,"0, SA",3,45,,,,
,,,,"0, AF",1,,,,,
,,,,"1, EU",13,101,,,,
,,,,"1, AS",4,83,,,,
,,,,"1, NA",1,,,,,
,,,,"1, SA",0,,,,,
,,,,"1, AF",1,,,,,